match_id,series_id,series_name,match_description,match_format,state,status,team1,team2,venue,city
129596,10565,Pakistan tour of England 2026,3rd Test,TEST,Stumps,Day 3: Stumps - Pakistan lead by 129 runs,Pakistan,England,Edgbaston,Birmingham
154649,12123,Caribbean Premier League 2026,33rd Match,T20,Complete,Guyana Amazon Warriors won by 6 wkts,Trinbago Knight Riders,Guyana Amazon Warriors,Providence Stadium,Guyana
170381,12993,"ACC Men's Premier Cup, 2026",3rd Place Play-off,ODI,Innings Break,Innings Break,Oman,"Hong Kong, China",YSD-UKM Cricket Oval,Bangi
170383,12993,"ACC Men's Premier Cup, 2026",Final,ODI,Innings Break,Innings Break,Nepal,United Arab Emirates,Bayuemas Oval,Kuala Lumpur
171711,13140,CSA Four-Day Series Division One 2026-27,3rd Match,TEST,Stumps,Day 2: Stumps - Boland trail by 50 runs,Lions,Boland,The Wanderers Stadium,Johannesburg
171701,13140,CSA Four-Day Series Division One 2026-27,1st Match,TEST,Stumps,Day 2: Stumps - Warriors lead by 267 runs,Warriors,Western Province,Newlands,Cape Town
171721,13140,CSA Four-Day Series Division One 2026-27,4th Match,TEST,Stumps,Day 2: Stumps - Dolphins trail by 143 runs,Dolphins,Titans,SuperSport Park,Centurion
171707,13140,CSA Four-Day Series Division One 2026-27,2nd Match,TEST,Stumps,Day 2: Stumps - North West - Eastvaal Renault Dragons lead by 80 runs,North West - Eastvaal Renault Dragons,Knights,Grey College Bloemfontein,Bloemfontein
172031,13150,CSA Three-Day Series Division Two 2026-27,3rd Match,TEST,Stumps,Day 2: Stumps - KwaZulu-Natal Inland,Mpumalanga Rhinos,KwaZulu-Natal Inland - Tuskers,"Uplands College, White River",Mpumalanga
172021,13150,CSA Three-Day Series Division Two 2026-27,1st Match,TEST,Stumps,Day 2: Stumps,South Western Districts,Eastern Storm,Willowmoore Park,Benoni
172030,13150,CSA Three-Day Series Division Two 2026-27,2nd Match,TEST,Stumps,Day 2: Stumps - Border lead by 62 runs,Border,Limpopo,Polokwane Cricket Club,Polokwane
171280,13081,Malaysia Women tour of Japan 2026,2nd T20I,T20,Complete,Match abandoned due to rain,Japan Women,Malaysia Women,Sano International Cricket Ground,"Sano, Kanto"
